Symbol,Fincode,ISIN,Latest_Date,Latest_Close,Latest_Volume,Turnover,1_Week,1_Month,3_Months,6_Months,9_Months,1_Year,3_Years,5_Years,Raw_Score,Normalized_Score
20MICRONS,207635,INE144J01027,12-09-2025,226.58,76601,16814293.99,-2.087204529,-1.495522129,0.84115893,16.99886399,-8.181707663,-25.55281748,109.5053167,673.3105802,-377.3688619,27.49862947
21STCENMGM,126921,INE253B01015,12-09-2025,53.85,3051,210881.052,2.434848773,-5.443371378,-17.10283251,-17.72345302,-40.86316714,-59.87631324,103.9772727,425.3658537,-3648.276375,6.225440789
360ONE,228974,INE466L01038,12-09-2025,1068.8,343905,361955713.7,3.00693909,3.968871595,-6.286716352,23.58212407,-13.97295557,-3.550963317,150.2019079,336.8466765,-237.2410122,28.409987
3IINFOLTD,132628,INE748C01038,12-09-2025,24.59,472391,11758887.99,5.945713055,9.581105169,-3.606428851,10.36804309,-23.75193798,-26.00060187,-52.25242718,,-1396.860252,20.86810488
3MINDIA,123395,INE470A01017,12-09-2025,30715,2204,64817735.99,1.086062202,0.721429743,5.386858809,10.16739418,-2.474570836,-12.52764215,34.7022101,65.41009209,32.10635096,30.16175689
3PLAND,116092,INE105C01023,12-09-2025,44.66,4793,228247.9856,-0.821674439,-10.57268722,-15.68812535,9.219858156,-37.15170279,2.595910866,152.3163842,538,-1490.129702,20.26150301
5PAISA,228972,INE618L01018,12-09-2025,369.95,10147,3949685.927,2.04109778,-0.188857413,-8.496166213,12.99633476,-25.14921598,-27.25395733,3.671010228,1.106859798,-1436.654998,20.60928951
63MOONS,126881,INE111B01023,12-09-2025,941.6,106881,90380770.6,1.970976825,0.330314331,1.932341001,38.67452135,5.147962032,137.7477591,385.7363941,1169.002695,3972.742079,55.79069535
A2ZINFRA,207654,INE619I01012,12-09-2025,19.25,121360,2258941.102,-7.094594595,-0.824317362,2.176220807,11.2716763,-13.17095174,17.37804878,55.87044534,337.5,165.1635075,31.02712834
AAATECH,299993,INE0D0U01013,12-09-2025,79.57,12157,1045652.612,0.479858568,-4.236370201,-8.969225489,17.35988201,-29.47172487,-37.8359375,-5.273809524,,-1683.45763,19.00414509
AADHARHFC,313099,INE883F01010,12-09-2025,506.65,561094,250504001.1,-1.343588745,2.00322126,15.72635907,22.18738695,15.92495138,10.67059851,,,1778.221463,41.51806583
AAKASH,288691,INE087Z01024,12-09-2025,10,72811,687004.1454,-2.248289345,-3.846153846,18.76484561,18.76484561,-6.015037594,-21.01105845,-34.64052288,86.91588785,315.881146,32.00735929
AAREYDRUGS,124412,INE198H01019,12-09-2025,73.41,51308,2813080.819,5.915452316,13.79631065,32.79667149,101.0682005,24.42372881,7.718268525,80.36855037,,4339.973216,58.17907755
AARON,290393,INE721Z01010,12-09-2025,200.61,23771,4470492.455,-1.945354123,-5.216158753,0.682559598,13.88589271,14.78186239,49.09698997,126.6779661,1358.981818,1989.58719,42.89273722
