Stock_Symbol,Sector
1018GS2026,Unknown
20MICRONS,Unknown
21STCENMGM,Unknown
360ONE,Finance - Others
3IINFOLTD,Unknown
3MINDIA,Diversified
3PLAND,Unknown
574GS2026,Unknown
577GS2030,Unknown
585GS2030,Unknown
591GS2028,Unknown
5PAISA,Unknown
601GS2030,Unknown
610GS2031,Unknown
633GS2035,Unknown
63MOONS,Unknown
654GS2032,Unknown
664GS2027,Unknown
667GS2035,Unknown
667GS2050,Unknown
668GS2040,Unknown
675GS2029,Unknown
676GS2061,Unknown
690GS2065,Unknown
695GS2061,Unknown
697GR2034,Unknown
699GS2026,Unknown
702GS2027,Unknown
702GS2031,Unknown
704GS2029,Unknown
706GS2028,Unknown
709GS2054,Unknown
709GS2074,Unknown
710GS2029,Unknown
716GS2050,Unknown
718GS2033,Unknown
718GS2037,Unknown
725GS2063,Unknown
726GS2032,Unknown
726GS2033,Unknown
732GS2030,Unknown
734GS2064,Unknown
736GS2052,Unknown
737GS2028,Unknown
738GS2027,Unknown
73GS2053,Unknown
746GS2073,Unknown
74GS2035,Unknown
74GS2062,Unknown
754GS2036,Unknown
75GS2034,Unknown
769GS2043,Unknown
813GS2045,Unknown
828GS2027,Unknown
832GS2032,Unknown
833GS2026,Unknown
897GS2030,Unknown
92GS2030,Unknown
A2ZINFRA,Unknown
AAATECH,Plastic Products
AADHARHFC,Unknown
AAKAAR,Unknown
AAKASH,Oil Exploration
AAREYDRUGS,Unknown
AARON,Unknown
AARTECH,Plastic Products
AARTIDRUGS,Unknown
AARTIIND,Unknown
AARTIPHARM,Unknown
AARTISURF,Unknown
AARVEEDEN,Unknown
AARVI,Unknown
AAVAS,Unknown
ABAN,Bank - Private
ABB,Electric Equipment
ABBOTINDIA,Industrial  Gases & Fuels
ABCAPITAL,Unknown
ABCOTS,Unknown
ABDL,Unknown
ABFRL,Unknown
ABGSEC,Unknown
ABHAPOWER,Unknown
ABINFRA,Unknown
ABLBL,Unknown
ABMINTLLTD,Unknown
ABREL,Unknown
ABSLAMC,Unknown
ABSLBANETF,Unknown
ABSLLIQUID,Unknown
ABSLNN50ET,Unknown
ABSLPSE,Unknown
ABSMARINE,Unknown
ACC,Cement & Construction Materials
ACCELYA,Cement & Construction Materials
ACCENTMIC,Cement & Construction Materials
ACCPL,Cement & Construction Materials
ACCURACY,Cement & Construction Materials
ACE,Airlines
ACEINTEG,Unknown
ACI,Engineering - Construction
ACL,Unknown
ACLGATI,Unknown
ACMESOLAR,Power Generation/Distribution
ACTIVEINFR,Unknown
ACUTAAS,Unknown
ADANIENSOL,Unknown
ADANIENT,Trading
ADANIGREEN,Unknown
ADANIPORTS,Port
ADANIPOWER,Power Generation/Distribution
ADFFOODS,Unknown
ADL,Unknown
ADOR,Electrodes & Welding Equipment
ADROITINFO,Telecommunication - Equipment
ADSL,Unknown
ADVANIHOTR,Unknown
ADVENZYMES,Unknown
AEGISLOG,Trading
AEGISVOPAK,Miscellaneous
AEROENTER,Unknown
AEROFLEX,Unknown
AERON,Defence
AESTHETIK,Unknown
AETHER,Unknown
AFCONS,Unknown
AFFLE,Unknown
AFFORDABLE,Unknown
AFIL,Unknown
AFSL,Unknown
AGARIND,Breweries & Distilleries
AGARWALEYE,Unknown
AGARWALFT,Unknown
AGARWALTUF,Unknown
AGI,Amusement Parks/Recreation/Club
AGIIL,Unknown
AGNI,Unknown
AGRITECH,Plastic Products
AGROPHOS,Fertilizers
AGSTRA,Unknown
AGUL,Unknown
AHLADA,Unknown
AHLEAST,Unknown
AHLUCONT,Unknown
AIAENG,Castings/Forgings
AIIL,Unknown
AIMTRON,Electronics - Components
AIRAN,Unknown
AIROLAM,Laminates/Decoratives
AIRTELPP,Unknown
AJANTPHARM,Unknown
AJAXENGG,Unknown
AJMERA,Unknown
AJOONI,Animal Feed
AKANKSHA,Unknown
AKASH,Dyes & Pigments
AKG,Unknown
AKI,Finance - NBFC
AKIKO,Unknown
AKSHAR,Dyes & Pigments
AKSHARCHEM,Dyes & Pigments
AKSHOPTFBR,Unknown
AKUMS,Unknown
AKZOINDIA,Industrial  Gases & Fuels
ALANKIT,Unknown
ALBERTDAVD,Unknown
ALEMBICLTD,Unknown
ALICON,Unknown
ALIVUS,Unknown
ALKALI,Unknown
ALKEM,Unknown
ALKYLAMINE,Unknown
ALLCARGO,Unknown
ALLDIGI,Unknown
ALLETEC,Unknown
ALMONDZ,Unknown
ALOKINDS,Unknown
ALPA,Hospital & Healthcare Services
ALPEXSOLAR,Unknown
ALPHA,Unknown
ALPHAETF,Unknown
ALPHAGEO,Unknown
ALPL30IETF,Unknown
ALPSINDUS,Unknown
ALUWIND,Engineering
AMBER,Air Conditioners
AMBEY,Pesticides & Agrochemicals
AMBICAAGAR,Unknown
AMBIKCO,Unknown
AMBUJACEM,Cement & Construction Materials
AMDIND,Unknown
AMEYA,Unknown
AMJLAND,Unknown
AMJUMBO,Unknown
AMNPLST,Unknown
AMRUTANJAN,Unknown
ANANDRATHI,Finance - Others
ANANTRAJ,Unknown
ANDHRAPAP,Unknown
ANDHRSUGAR,Unknown
ANGELONE,Finance - Stock Broking
ANIKINDS,Unknown
ANKITMETAL,Metal - Non Ferrous
ANLON,Unknown
ANMOL,Unknown
ANNAPURNA,Unknown
ANSALAPI,Unknown
ANTGRAPHIC,Unknown
ANTHEM,Unknown
ANUHPHR,Unknown
ANUP,Unknown
ANURAS,Unknown
ANYA,Cement & Construction Materials
AONELIQUID,Unknown
AONENIFTY,Bank - Public
AONETOTAL,Unknown
APARINDS,Unknown
APCL,Unknown
APCOTEXIND,Rubber  Products
APEX,Aquaculture
APEXECO,Environmental Services
APLAPOLLO,Unknown
APLLTD,Unknown
APOLLO,Hospital & Healthcare Services
APOLLOHOSP,Hospital & Healthcare Services
APOLLOPIPE,Unknown
APOLLOTYRE,Tyres & Allied
APOLSINHOT,Unknown
