Symbol,Fincode,ISIN,Latest_Date,Latest_Close,Latest_Volume,Turnover,1_Week,1_Month,3_Months,6_Months,9_Months,1_Year,3_Years,5_Years,Raw_Score,Normalized_Score
20MICRONS,207635,INE144J01027,2025-09-08,230.02,112074,26030307.24,-0.8449004224502024,-0.7893034289411189,2.6645837982593163,17.63923694573723,-10.155456604952727,-27.63253106811389,122.13423466924193,683.7137989778535,-443.38033267106215,29.71275103664384
21STCENMGM,126921,INE253B01015,2025-09-08,53.62,813,44882.0715,2.602372751626482,-5.181255526083112,-19.886448528313174,-19.59814065077223,-42.94530751223665,-59.76286957826804,102.33962264150942,413.11004784689,-3848.3718662711312,7.203002056685191
360ONE,228974,INE466L01038,2025-09-08,1040.0,643249,676945598.865,0.8925106713232486,-0.26850786344456795,-2.0992186764567404,22.88060495067052,-13.28274826982406,-4.574023948249751,137.8230048021953,326.62291047072097,-100.57067426816728,31.979000242378547
3IINFOLTD,132628,INE748C01038,2025-09-08,23.37,204562,4676594.162999999,2.9062087186261567,2.5449758666081697,-12.010542168674691,3.590425531914904,-29.117379435850765,-29.267554479418884,-55.52806850618458,,-1985.9989416074845,19.514793915071056
3MINDIA,123395,INE470A01017,2025-09-08,30835.0,9815,302822195.0,-1.4698833679501517,-2.4671832990668987,4.791843670348343,10.320819454531797,-2.0280682356155832,-12.147868513835963,35.004673828095065,63.951859246518,78.40831141132986,33.1621961477362
3PLAND,116092,INE105C01023,2025-09-08,44.35,9905,467352.56749999995,-2.140335392762575,-3.5659926070884986,-20.533954488442934,6.73886883273166,-25.52476910159529,1.025056947608207,146.3888888888889,533.5714285714287,-1309.7068404335444,23.9856318846618
5PAISA,228972,INE618L01018,2025-09-08,368.7,26470,9681998.075000001,2.4878387769284194,-0.1624695369618258,-13.318443634653823,9.260631204622907,-25.97128802329084,-28.760506231281997,6.52990465183472,6.039689387402934,-1713.8822609384285,21.313705341039803
63MOONS,126881,INE111B01023,2025-09-08,921.5,70463,66351660.10750001,0.798512360533795,0.8978429869703325,6.778679026651218,34.13391557496361,5.706911385144823,123.74650965157217,408.69445211150975,1159.7402597402597,3717.0430836079036,57.21651597310643
A2ZINFRA,207654,INE619I01012,2025-09-08,20.3,21152,412421.69599999994,1.347978032950572,5.454545454545459,4.585265327150956,22.21553281155931,0.7944389275074485,18.023255813953497,61.111111111111114,346.1538461538462,1007.7171723016701,39.30567961225334
AAATECH,299993,INE0D0U01013,2025-09-08,79.14,56768,4636696.703999999,0.4569687738004562,-9.853058434901476,-12.222715173025728,10.577057426295946,-29.603273438889875,-42.144893632575474,-12.066666666666666,,-1969.6396695263345,19.62294193964256
